Date,Open,High,Low,Close,Adj Close,Volume
2010-04-05,1.985,2.014286,1.972143,2.004286,1.336464,45533600
2010-04-06,2.002143,2.083571,1.985714,2.065714,1.377425,79678200
2010-04-07,2.051429,2.070714,2.020714,2.028571,1.352657,62732600
2010-04-08,2.04,2.089286,2.036429,2.055714,1.370756,99778000
2010-04-09,2.074286,2.141428,2.057857,2.129286,1.419814,73969000
2010-04-10,2.142143,2.174286,2.130714,2.167857,1.445534,103905200
2010-04-11,2.149286,2.193571,2.142857,2.157143,1.43839,87301200
2010-04-12,2.157143,2.212143,2.157143,2.195714,1.464109,64394400
2010-04-13,2.189286,2.191429,2.107143,2.151428,1.434579,60996600
2010-04-14,2.181429,2.224286,2.161429,2.192143,1.461728,111158600
2010-04-15,2.19,2.38,2.180714,2.338571,1.559366,227410400
2010-04-16,2.325714,2.366429,2.300714,2.343571,1.562701,137830000
2010-04-17,2.332857,2.386429,2.316429,2.350714,1.567463,101563000
2010-04-18,2.365714,2.392857,2.294286,2.309286,1.539839,97553400
2010-04-19,2.307143,2.363571,2.306429,2.357143,1.57175,90127800
2010-04-20,2.357143,2.416429,2.349286,2.407143,1.60509,97717200
2010-04-21,2.393571,2.407143,2.355714,2.37,1.580323,63128800
2010-04-22,2.362143,2.407143,2.357143,2.407143,1.60509,80857000
2010-04-23,2.441429,2.442143,2.300714,2.320714,1.547459,130274200
2010-04-24,2.290714,2.356429,2.243572,2.321429,1.547935,147638400
2010-04-25,2.325714,2.355,2.277857,2.324286,1.549841,93261000
2010-04-26,2.292857,2.32,2.278571,2.307143,1.53841,85485400
2010-04-27,2.177143,2.227143,2.123571,2.22,1.480303,227670800
2010-04-28,2.233572,2.244286,2.2,2.210714,1.474111,87245200
2010-04-29,2.203571,2.24,2.152143,2.170714,1.447439,99498000
2010-04-30,2.152143,2.191429,2.139286,2.152857,1.435532,58345000
2010-05-01,2.162143,2.178571,2.145,2.145,1.430292,52215800
2010-05-02,2.144286,2.145714,2.066429,2.081429,1.387903,127905400
2010-05-03,2.089286,2.114286,2.072857,2.087143,1.391713,79044000
2010-05-04,2.061429,2.140714,2.052857,2.112857,1.408859,208950000
2010-05-05,2.332857,2.402143,2.293571,2.352143,1.568416,441931000
2010-05-06,2.342857,2.351429,2.294286,2.3,1.533647,122095400
2010-05-07,2.286429,2.301429,2.261429,2.283571,1.522692,133292600
2010-05-08,2.282143,2.3,2.253572,2.3,1.533647,80936800
2010-05-09,2.315714,2.336429,2.238571,2.258571,1.506022,75314400
2010-05-10,2.232143,2.266428,2.218571,2.262857,1.50888,83529600
2010-05-11,2.252143,2.267857,2.177143,2.192857,1.462204,68392800
2010-05-12,2.203571,2.246428,2.198571,2.232857,1.488876,98483000
2010-05-13,2.271429,2.339286,2.255,2.316429,1.544602,106251600
2010-05-14,2.307857,2.315,2.225714,2.305,1.536981,71262800
2010-05-15,2.319286,2.344286,2.295,2.331429,1.554603,55539400
2010-05-16,2.332143,2.357143,2.285714,2.31,1.540315,60755800
2010-05-17,2.227143,2.3,2.223572,2.255714,1.504117,91273000
2010-05-18,2.246428,2.265714,2.225,2.235,1.490305,52907400
2010-05-19,2.227857,2.294286,2.226429,2.270714,1.514119,69122200
2010-05-20,2.272143,2.307143,2.232143,2.242143,1.495067,61125400
2010-05-21,2.207143,2.221429,2.121428,2.127143,1.418385,123072600
2010-05-22,2.132143,2.175,2.129286,2.164286,1.443152,72711800
2010-05-23,2.170714,2.252857,2.167857,2.251429,1.501259,87759000
2010-05-24,2.221429,2.223572,2.161429,2.215,1.476969,80598000
2010-05-25,2.175,2.203571,2.162857,2.169286,1.446486,56550200
2010-05-26,2.185714,2.234286,2.171429,2.202857,1.468872,82012000
2010-05-27,2.214286,2.265714,2.188571,2.198571,1.466014,108918600
2010-05-28,2.184286,2.223572,2.167857,2.205,1.470301,80754800
2010-05-29,2.179286,2.275,2.177857,2.267143,1.511738,91163800
2010-05-30,2.250714,2.275714,2.168571,2.193571,1.46268,97230000
2010-05-31,2.193571,2.213571,2.177857,2.2,1.466967,79195200
2010-06-01,2.204286,2.233572,2.185714,2.22,1.480303,63665000
2010-06-02,2.232857,2.282143,2.227857,2.282143,1.52174,93534000
2010-06-03,2.276428,2.367857,2.266428,2.360714,1.574132,126404600
